Database,SS,YYYY,cas_id,dist_1,Forest_Type,dist_YYYY,YearsAgo,YearsAgo_Range,dist_ext_upper_1
ABMI,193-2-Bird,2012,AB_0021-xxxxxxxxxxxxAVI-xT114R17M5-0000000457-0259134,CO,,1985,27,25_30,95-100
ABMI,193-3-Bird,2012,AB_0021-xxxxxxxxxxxxAVI-xT114R17M5-0000000457-0259134,CO,,1985,27,25_30,95-100
ABMI,193-5-Bird,2012,AB_0021-xxxxxxxxxxxxAVI-xT114R17M5-0000000457-0259134,CO,,1985,27,25_30,95-100
ABMI,193-9-Bird,2012,AB_0021-xxxxxxxxxxxxAVI-xT114R17M5-0000000457-0259134,CO,,1985,27,25_30,95-100
ABMI,478-8-Bird,2004,AB_0014-xxxxxxxxxxALPAC-xT090R11M4-0901140852-0000351,CO,conif,1993,11,10_15,50-75
ABMI,478-8-Bird,2013,AB_0014-xxxxxxxxxxALPAC-xT090R11M4-0901140852-0000351,CO,conif,1993,20,15_20,50-75
ABMI,478-9-Bird,2004,AB_0014-xxxxxxxxxxALPAC-xT090R11M4-0901140707-0000493,CO,decid,1993,11,10_15,75-95
ABMI,478-9-Bird,2013,AB_0014-xxxxxxxxxxALPAC-xT090R11M4-0901140707-0000493,CO,decid,1993,20,15_20,75-95
ABMI,478-SW-BOTH,2018,AB_0014-xxxxxxxxxxALPAC-xT090R11M4-0901140707-0000493,CO,decid,1993,25,20_25,75-95
ABMI,574-5-Bird,2004,AB_0014-xxxxxxxxxxALPAC-xT083R06M4-0830640384-0001396,CO,decid,1996,8,5_10,75-95
ABMI,574-5-Bird,2007,AB_0014-xxxxxxxxxxALPAC-xT083R06M4-0830640384-0001396,CO,decid,1996,11,10_15,75-95
ABMI,574-NE-BOTH,2015,AB_0014-xxxxxxxxxxALPAC-xT083R06M4-0830640384-0001396,CO,decid,1996,19,15_20,75-95
ABMI,600-1-Bird,2007,AB_0014-xxxxxxxxxxALPAC-xT083R16M4-0831640410-0001192,CO,decid,1988,19,15_20,75-95
ABMI,600-2-Bird,2007,AB_0014-xxxxxxxxxxALPAC-xT083R16M4-0831646008-0001218,CO,conif,1997,10,5_10,95-100
ABMI,600-6-Bird,2007,AB_0014-xxxxxxxxxxALPAC-xT083R16M4-0831646009-0001176,CO,conif,1997,10,5_10,95-100
ABMI,600-8-Bird,2007,AB_0014-xxxxxxxxxxALPAC-xT083R16M4-0831646008-0001218,CO,conif,1997,10,5_10,95-100
ABMI,600-9-Bird,2007,AB_0014-xxxxxxxxxxALPAC-xT083R16M4-0831640401-0001239,CO,decid,1988,19,15_20,75-95
ABMI,600-NW-BOTH,2015,AB_0014-xxxxxxxxxxALPAC-xT083R16M4-0831640410-0001192,CO,decid,1988,27,25_30,75-95
ABMI,600-SW-BOTH,2015,AB_0014-xxxxxxxxxxALPAC-xT083R16M4-0831640401-0001239,CO,decid,1988,27,25_30,75-95
ABMI,607-7-Bird,2012,AB_0014-xxxxxxxxxxALPAC-xT080R03M4-0800349049-0000684,CO,,2001,11,10_15,95-100
